,index,prod_class,brand,product_title,price,url
61,61,laptop,Acer,Aspire S 13 S5-371T-76CY,105000.0,http://www.consumerreports.org/products/laptop/acer-aspire-s-13-s5-371t-76cy-387895/
62,62,laptop,Acer,Aspire S5-371-52JR,71500.0,http://www.consumerreports.org/products/laptop/acer-aspire-s5-371-52jr-386553/
63,63,laptop,Acer,Aspire Switch 10 SW5-015-198P,35000.0,http://www.consumerreports.org/products/laptop/acer-aspire-switch-10-sw5-015-198p-386345/
64,64,laptop,Acer,Aspire V5-591G-55PV,80000.0,http://www.consumerreports.org/products/laptop/acer-aspire-v5-591g-55pv-387108/
65,65,laptop,Acer,Spin 1 SP111-31-C2W3,25000.0,http://www.consumerreports.org/products/laptop/acer-spin-1-sp111-31-c2w3-388639/
66,66,laptop,Acer,Swift 7 SF713-51-M90J,100000.0,http://www.consumerreports.org/products/laptop/acer-swift-7-sf713-51-m90j-387922/
67,67,laptop,Acer,Switch Alpha 12 SA5-271-594J,70000.0,http://www.consumerreports.org/products/laptop/acer-switch-alpha-12-sa5-271-594j-386446/
68,68,laptop,Apple,MacBook 12-inch MF855LL/A,130000.0,http://www.consumerreports.org/products/laptop/apple-macbook-12-inch-mf855ll-a-377002/
69,69,laptop,Apple,MacBook 12-inch MLHE2LL/A,130000.0,http://www.consumerreports.org/products/laptop/apple-macbook-12-inch-mlhe2ll-a-386115/
70,70,laptop,Apple,MacBook 12-inch MNYH2LL/A,130000.0,http://www.consumerreports.org/products/laptop/apple-macbook-12-inch-392572/
71,71,laptop,Apple,MacBook Air 11-inch MJVM2LL/A,90000.0,http://www.consumerreports.org/products/laptop/apple-macbook-air-11-inch-mjvm2ll-a-374085/
72,72,laptop,Apple,MacBook Pro 13-inch MLH12LL/A,180000.0,http://www.consumerreports.org/products/laptop/apple-macbook-pro-13-inch-mlh12ll-a-388053/
73,73,laptop,Apple,MacBook Pro 13-inch MLL42LL/A,130000.0,http://www.consumerreports.org/products/laptop/apple-macbook-pro-13-inch-mll42ll-a-388052/
74,74,laptop,Apple,MacBook Pro 13-inch MPXR2LL/A,130000.0,http://www.consumerreports.org/products/laptop/apple-macbook-pro-13-inch-no-touch-bar-392573/
75,75,laptop,Apple,MacBook Pro 15-inch MLH32LL/A,240000.0,http://www.consumerreports.org/products/laptop/apple-macbook-pro-15-inch-mlh32ll-a-388054/
76,76,laptop,Asus,Q304UA-BHI5T11,65000.0,http://www.consumerreports.org/products/laptop/asus-q304ua-bhi5t11-387894/
77,77,laptop,Asus,Q324UA-BHI7T17,110000.0,http://www.consumerreports.org/products/laptop/asus-q324ua-bhi7t17-387893/
78,78,laptop,Asus,Q524UQ-BBI7T14,88000.0,http://www.consumerreports.org/products/laptop/asus-q524uq-bbi7t14-386679/
79,79,laptop,Asus,Q524UQ-BHI7T15,100000.0,http://www.consumerreports.org/products/laptop/asus-q524uq-bhi7t15-388948/
80,80,laptop,Asus,Transformer Book T300CHI-F1-DB,46500.0,http://www.consumerreports.org/products/laptop/asus-transformer-book-t300chi-f1-db-381372/
81,81,laptop,Asus,VivoBook E200HA-US01,20000.0,http://www.consumerreports.org/products/laptop/asus-vivobook-e200ha-us01-385911/
82,82,laptop,Asus,VivoBook Pro N552VX,130000.0,http://www.consumerreports.org/products/laptop/asus-vivobook-pro-n552vx-387457/
83,83,laptop,Dell,Inspiron 11 3000,18000.0,http://www.consumerreports.org/products/laptop/dell-inspiron-11-3000-385665/
84,84,laptop,Dell,Inspiron 11 3000 3rd Gen,40000.0,http://www.consumerreports.org/products/laptop/brondell-inspiron-11-3000-3rd-gen-387111/
85,85,laptop,Dell,Inspiron 13 5000,70000.0,http://www.consumerreports.org/products/laptop/brondell-inspiron-13-5000-387112/
86,86,laptop,Dell,Inspiron 13 7000 3rd Gen,87000.0,http://www.consumerreports.org/products/laptop/brondell-inspiron-13-7000-3rd-gen-387114/
87,87,laptop,Dell,Inspiron 15 5000 3rd-Gen,78500.0,http://www.consumerreports.org/products/laptop/brondell-inspiron-15-5000-3rd-gen-387113/
88,88,laptop,Dell,Inspiron 15 7000 3rd-Gen,75000.0,http://www.consumerreports.org/products/laptop/brondell-inspiron-15-7000-3rd-gen-387115/
89,89,laptop,Dell,Inspiron 17 7000 3rd-Gen,90000.0,http://www.consumerreports.org/products/laptop/brondell-inspiron-17-7000-3rd-gen-387116/
90,90,laptop,Dell,Inspiron i3567-3465BLK,40000.0,http://www.consumerreports.org/products/laptop/dell-inspiron-i3567-3465blk-389334/
91,91,laptop,Dell,Inspiron i5555-2843SLV,45000.0,http://www.consumerreports.org/products/laptop/dell-inspiron-i5555-2843slv-388772/
92,92,laptop,Dell,Inspiron i5565-5851GRY,70000.0,http://www.consumerreports.org/products/laptop/dell-inspiron-i5565-5851gry-388949/
93,93,laptop,Dell,Inspiron i5566-3000BLK,36500.0,http://www.consumerreports.org/products/laptop/dell-inspiron-i5566-3000blk-388771/
94,94,laptop,Dell,Inspiron i5567,77500.0,http://www.consumerreports.org/products/laptop/dell-inspiron-i5567-388951/
95,95,laptop,Dell,Inspiron i5759-5306SLV,76000.0,http://www.consumerreports.org/products/laptop/dell-inspiron-i5759-5306slv-385062/
96,96,laptop,Dell,Inspiron I7378-0028GRY,80000.0,http://www.consumerreports.org/products/laptop/dell-inspiron-i7378-0028gry-388097/
