prod_class,brand,product_title,price,url
desktop pcs,HP,Envy 750-514,$700.00,http://www.consumerreports.org/products/desktop-computer/hp-envy-750-514-389328/overview/
desktop pcs,HP,Pavilion 24-b040qe,$850.00,http://www.consumerreports.org/products/desktop-computer/hp-pavilion-24qe-387104/overview/
desktop pcs,HP,Pavilion 24-b217c,$800.00,http://www.consumerreports.org/products/desktop-computer/hp-pavilion-24-b217c-388966/overview/
desktop pcs,HP,Pavilion 24-b230,$750.00,http://www.consumerreports.org/products/desktop-computer/hp-pavilion-24-b230-388775/overview/
desktop pcs,HP,Pavilion 27-n220,$850.00,http://www.consumerreports.org/products/desktop-computer/hp-pavilion-27-n220-386120/overview/
desktop pcs,HP,Pavilion 510xt,$550.00,http://www.consumerreports.org/products/desktop-computer/hp-pavilion-510xt-387103/overview/
desktop pcs,HP,Pavilion 550-310,$500.00,http://www.consumerreports.org/products/desktop-computer/hp-pavilion-550-310-387267/overview/
desktop pcs,HP,Pavilion 570-P014,$430.00,http://www.consumerreports.org/products/desktop-computer/hp-pavilion-570-p014-389329/overview/
desktop pcs,HP,Pavilion 570-p017c,$550.00,http://www.consumerreports.org/products/desktop-computer/hp-pavilion-570-p017c-388967/overview/
desktop pcs,HP,Pavilion 570-p027c,$650.00,http://www.consumerreports.org/products/desktop-computer/hp-pavilion-570-p027c-388971/overview/
desktop pcs,HP,Pavilion Wave Desktop - 600-a020xt,$680.00,http://www.consumerreports.org/products/desktop-computer/hp-pavilion-wave-desktop-600-a020xt-387883/overview/
desktop pcs,HP,Slimline 270-a016,$380.00,http://www.consumerreports.org/products/desktop-computer/hp-slimline-270-a016-389330/overview/
desktop pcs,Intel,Compute Stick,$100.00,http://www.consumerreports.org/products/desktop-computer/intel-compute-stick-376366/overview/
desktop pcs,Lenovo,510-22ISH,$500.00,http://www.consumerreports.org/products/desktop-computer/lenovo-ideacentre-700-22ish-f0bf-389572/overview/
desktop pcs,Lenovo,520S-23IKU F0CU,$950.00,http://www.consumerreports.org/products/desktop-computer/lenovo-520s-23iku-f0cu-389573/overview/
desktop pcs,Lenovo,"AIO 300 22"" F0BX00AHUS",$480.00,http://www.consumerreports.org/products/desktop-computer/lenovo-aio-300-22-386662/overview/
desktop pcs,Lenovo,"Ideacentre AIO 300-23"" F0BY0041US",$580.00,http://www.consumerreports.org/products/desktop-computer/lenovo-ideacentre-aio-300-23-386659/overview/
desktop pcs,Lenovo,"Ideacentre AIO 700 24"" F0BE006SUS",$900.00,http://www.consumerreports.org/products/desktop-computer/lenovo-ideacenter-aio-700-24-386657/overview/
desktop pcs,Lenovo,Ideacentre AIO 700-27 F0BD002KUS,"$1,400.00",http://www.consumerreports.org/products/desktop-computer/lenovo-ideacentre-aio-700-27-386660/overview/
desktop pcs,Lenovo,Yoga Home 900,$900.00,http://www.consumerreports.org/products/desktop-computer/lenovo-yoga-home-900-386658/overview/
desktop pcs,Samsung,All-In-One DP710A4M-L01US,"$1,000.00",http://www.consumerreports.org/products/desktop-computer/samsung-all-in-one-dp710a4m-l01us-389570/overview/
desktop pcs,Apple,21.5-inch iMac MK442LL/A,"$1,200.00",http://www.consumerreports.org/products/desktop-computer/apple-21-5-inch-imac-mk442ll-a-384904/overview/
desktop pcs,Apple,27-inch iMac MNE92LL/A,"$1,699.00",http://www.consumerreports.org/products/desktop-computer/apple-imac-27-inch-mne92ll-a-392569/overview/
desktop pcs,Apple,27-inch iMac with Retina 5K display MK472LL/A,"$1,799.00",http://www.consumerreports.org/products/desktop-computer/apple-27-inch-imac-with-retina-5k-display-mk472ll-a-384905/overview/
desktop pcs,Apple,iMac with Retina 4K display MK452LL/A,"$1,400.00",http://www.consumerreports.org/products/desktop-computer/apple-imac-with-retina-4k-display-mk452ll-a-384903/overview/
