prod_class,brand,product_title,price,url
laptop,Samsung,ATIV Book 9 NP930X2K-K02US,$750.00,http://www.consumerreports.org/products/laptop/samsung-ativ-book-9-np930x2k-k02us-371599/overview/
laptop,Samsung,Notebook 7 740U5LE,"$1,000.00",http://www.consumerreports.org/products/laptop/samsung-notebook-7-740u5le-387110/overview/
laptop,Samsung,Notebook 9 NP900X3L-K06US,$850.00,http://www.consumerreports.org/products/laptop/samsung-notebook-9-np900x3l-k06us-385908/overview/
laptop,Samsung,Notebook 9 NP900X5L-K02US,"$1,199.99",http://www.consumerreports.org/products/laptop/samsung-notebook-9-np900x5l-k02us-385909/overview/
laptop,Samsung,Notebook 9 pro NP940Z5L-X01US,"$1,050.00",http://www.consumerreports.org/products/laptop/samsung-notebook-9-pro-np940z5l-x01us-385107/overview/
laptop,Samsung,Notebook 9 spin NP940X3L-K01US,"$1,000.00",http://www.consumerreports.org/products/laptop/samsung-notebook-9-spin-np940x3l-k01us-385106/overview/
laptop,Vaio,Z,"$1,479.00",http://www.consumerreports.org/products/laptop/vaio-z-386114/overview/
laptop,Vaio,Z Canvas,"$1,540.00",http://www.consumerreports.org/products/laptop/vaio-z-canvas-385680/overview/
laptop,Vaio,Z Flip,"$1,749.98",http://www.consumerreports.org/products/laptop/vaio-flip-z-385731/overview/
laptop,Acer,Aspire E5-575T-3678,$400.00,http://www.consumerreports.org/products/laptop/acer-aspire-e5-575t-3678-388641/overview/
laptop,Acer,Aspire ES 15 E5-573-35JA,$250.00,http://www.consumerreports.org/products/laptop/acer-aspire-es-15-e5-573-35ja-386283/overview/
laptop,Acer,Aspire ES1-533-C55P,$280.00,http://www.consumerreports.org/products/laptop/acer-aspire-es1-533-c55p-388642/overview/
laptop,Acer,Aspire F5-573-505W,$500.00,http://www.consumerreports.org/products/laptop/acer-aspire-f5-573-505w-386465/overview/
laptop,Acer,Aspire Nitro VN7- 592G-77,"$1,115.00",http://www.consumerreports.org/products/laptop/acer-aspire-nitro-vn7-592g-77-386284/overview/
laptop,Acer,Aspire R3-131T-P6G7,$450.00,http://www.consumerreports.org/products/laptop/acer-aspire-r3-131t-p6g7-387266/overview/
laptop,Acer,Aspire R5-571T-59DC,$585.00,http://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-59dc-386554/overview/
laptop,Acer,Aspire S 13 S5-371T-76CY,"$1,050.00",http://www.consumerreports.org/products/laptop/acer-aspire-s-13-s5-371t-76cy-387895/overview/
laptop,Acer,Aspire S5-371-52JR,$715.00,http://www.consumerreports.org/products/laptop/acer-aspire-s5-371-52jr-386553/overview/
