"","brand","model","prod_class","url","Analog_surround_sound_out","Battery_capacity","Blu_ray_or_DVD","Blu_ray_reader","Built_in_microphone","Built_in_webcam","Depth","Digital_video_out","Display_size","DisplayPort_video_out","DVI_video_out","Energy_Star","EPEAT_level","Facial_recognition","Fingerprint_reader","Free_memory_slot","Gigabit_Ethernet","Hand_gesture_control","HDMI_output","HDMI_video_in","HDMI_video_out","Height","LCD_resolution","Memory","Memory_card_reader","MS_Memory_Stick_reader","Multitouch_touchpad","Number_of_free_USB_ports","Number_of_speakers","Number_of_USB_ports","Operating_system_as_tested_","Optical_digital_audio_out","Optical_drive","Processor","SD/MMC_reader","Storage","Suitable_for_gaming","Tech_support_length","Thunderbolt_port","Touchpad","USB_sleep_and_charge","VGA_video_out","Video_adapter","Video_memory","Voice_command","Warranty_length","Width","WiFi","WiFi_type","Wireless_keyboard","Wireless_mouse","xD_reader","Has_Facial_recognition","Has_FingerPrintReader"
"194","Lenovo","Flex 5 15 computer","laptop","https://www.consumerreports.org/products/laptop/lenovo-flex-5-15-389338/specs",NA,53,"None",NA,NA,NA,9.8,"Yes",15.6,NA,"No","Yes","","No","Yes",NA,"0","No","Yes",NA,NA,0.9,"1920 x 1080",16,"Yes",NA,NA,NA,NA,3,"Windows 10 Home",NA,"None","Intel Core i7-7500U 2.7GHz",NA,512,NA,12,"0",NA,"Yes","No","Nvidia GeForce 940MX/Intel HD Graphics 620",2048,NA,12,14.4,NA,"802.11ac",NA,NA,NA,0,1
"195","Lenovo","G70-80Q5004QUS computer","laptop","https://www.consumerreports.org/products/laptop/lenovo-g70-80q5004qus-385669/specs",NA,42,"D",NA,NA,NA,11.2,"Yes",17.3,NA,"No","Yes","","No","No",NA,"1","No","Yes",NA,NA,1.3,"1600 x 900",4,"Yes",NA,NA,NA,NA,3,"Windows 10 Home",NA,"CD/DVD burner","AMD A8-6410 2GHz",NA,1000,NA,12,"0",NA,"No","No","AMD Radeon R5",NA,NA,12,16.4,NA,"802.11n",NA,NA,NA,0,0
"196","Lenovo","Ideacentre 610S computer","desktop-computer","https://www.consumerreports.org/products/desktop-computer/lenovo-ideacentre-610s-387424/specs","No",NA,NA,"No","No","No",5.3,"Yes",NA,"No","No","Yes","",NA,NA,"No","1",NA,NA,"Yes","Yes",10.2,"",8,"Yes","No",NA,3,0,NA,"Windows 10 Home","Yes","None","Core i5-6400T","Yes",1000,"Yes",12,"0","No",NA,"No","Nvidia GeForce GTX 750Ti/Intel HD 530",2048,"Cortana",12,5.5,"Yes",NA,"Yes","Yes","No",0,0
"197","Lenovo","Ideacentre AIO 300-20"" computer","desktop-computer","https://www.consumerreports.org/products/desktop-computer/lenovo-ideacentre-aio-300-20-386661/specs","No",NA,NA,"No","Yes","Yes",7.8,"Yes",20,"No","No","Yes","",NA,NA,"No","1",NA,NA,"No","Yes",16.2,"1600 x 900",4,"Yes","No",NA,2,0,NA,"Windows 10 Home","No","DVD burner","Pentium G4400T","Yes",500,"No",12,"0","No",NA,"No","Intel HD Graphics 510",0,"Cortana",12,19.4,"Yes",NA,"No","No","No",0,0
"198","Lenovo","Ideacentre AIO 300-23"" F0BY0041US computer","desktop-computer","https://www.consumerreports.org/products/desktop-computer/lenovo-ideacentre-aio-300-23-386659/specs","No",NA,NA,"No","Yes","Yes",7.9,"Yes",23,"No","No","Yes","",NA,NA,"Yes","1",NA,NA,"Yes","Yes",17.4,"1920 x 1080",8,"Yes","Yes",NA,4,0,NA,"Windows 10 Home","No","DVD burner","Core i3-6100U","Yes",1000,"No",12,"0","No",NA,"No","Intel HD Graphics 520",0,"No",12,22.1,"Yes",NA,"Yes","Yes","No",0,0
"199","Lenovo","Ideacentre AIO 700 24"" F0BE006SUS computer","desktop-computer","https://www.consumerreports.org/products/desktop-computer/lenovo-ideacenter-aio-700-24-386657/specs","No",NA,NA,"No","Yes","Yes",8.2,"Yes",23.8,"No","No","Yes","",NA,NA,"Yes","1",NA,NA,"Yes","Yes",18.4,"1920 x 1080",8,"Yes","Yes",NA,4,2,NA,"Windows 10 Home","No","DVD burner","Core i5-6400","Yes",1000,"Yes",12,"0","No",NA,"No","Nvidia GeForce GTX 950A/Intel HD Graphics 530",2048,"No",12,22.8,"Yes",NA,"Yes","Yes","No",0,0
"200","Lenovo","Ideacentre AIO 700-27 F0BD002KUS computer","desktop-computer","https://www.consumerreports.org/products/desktop-computer/lenovo-ideacentre-aio-700-27-386660/specs","No",NA,NA,"No","Yes","Yes",8.9,"Yes",27,"No","No","Yes","",NA,NA,"Yes","1",NA,NA,"Yes","Yes",16.6,"3840 x 2160",8,"Yes","Yes",NA,4,2,NA,"Windows 10 Home","No","DVD burner","Core i5-6400","Yes",1000,"Yes",12,"0","No",NA,"No","Nvidia GeForce GTX 950A/Intel HD Graphics 530",2048,"No",12,25.7,"Yes",NA,"Yes","Yes","No",0,0
"201","Lenovo","IdeaPad 110 computer","laptop","https://www.consumerreports.org/products/laptop/lenovo-ideapad-110-389339/specs",NA,32,"D",NA,NA,NA,10.4,"Yes",15.6,NA,"No","Yes","","No","No",NA,"0","No","Yes",NA,NA,1.1,"1366 x 768",6,"Yes",NA,NA,NA,NA,2,"Windows 10 Home",NA,"CD/DVD burner","Intel Pentium 4405U 2.1GHz",NA,1000,NA,12,"0",NA,"No","No","Intel HD Graphics 510",NA,NA,12,14.8,NA,"802.11ac",NA,NA,NA,0,0
"202","Lenovo","Ideapad 300S computer","laptop","https://www.consumerreports.org/products/laptop/lenovo-ideapad-300s-385670/specs",NA,45,"None",NA,NA,NA,9.4,"Yes",14,NA,"No","Yes","","No","No",NA,"1","No","Yes",NA,NA,0.9,"1920 x 1080",8,"Yes",NA,NA,NA,NA,3,"Windows 10 Home",NA,"None","Intel Core i5-6200U 2.3GHz",NA,500,NA,12,"0",NA,"Yes","No","Intel HD Graphics 520",NA,NA,12,13.4,NA,"802.11ac",NA,NA,NA,0,0
"203","Lenovo","Ideapad 500S computer","laptop","https://www.consumerreports.org/products/laptop/lenovo-ideapad-500s-385671/specs",NA,45,"None",NA,NA,NA,9.4,"Yes",14,NA,"No","Yes","","No","No",NA,"1","No","Yes",NA,NA,0.9,"1920 x 1080",8,"Yes",NA,NA,NA,NA,3,"Windows 10 Home",NA,"None","Intel Core i7-6500U 2.5GHz",NA,256,NA,12,"0",NA,"Yes","No","Nvidia GeForce 940M/Intel HD Graphics 520",2048,NA,12,13.4,NA,"802.11ac",NA,NA,NA,0,0
