,Unnamed: 0,brand,model,prod_class,url,Analog_surround_sound_out,Battery_capacity,Blu_ray_or_DVD,Blu_ray_reader,Built_in_microphone,Built_in_webcam,Depth,Digital_video_out,Display_size,DisplayPort_video_out,DVI_video_out,Energy_Star,EPEAT_level,Facial_recognition,Fingerprint_reader,Free_memory_slot,Gigabit_Ethernet,Hand_gesture_control,HDMI_output,HDMI_video_in,HDMI_video_out,Height,LCD_resolution,Memory,Memory_card_reader,MS_Memory_Stick_reader,Multitouch_touchpad,Number_of_free_USB_ports,Number_of_speakers,Number_of_USB_ports,Operating_system_as_tested_,Optical_digital_audio_out,Optical_drive,Processor,SD/MMC_reader,Storage,Suitable_for_gaming,Tech_support_length,Thunderbolt_port,Touchpad,USB_sleep_and_charge,VGA_video_out,Video_adapter,Video_memory,Voice_command,Warranty_length,Width,WiFi,WiFi_type,Wireless_keyboard,Wireless_mouse,xD_reader,Has_Facial_recognition,Has_FingerPrintReader
254,255,Samsung,Notebook 7 Spin 15 computer,laptop,https://www.consumerreports.org/products/laptop/samsung-notebook-7-spin-15-388954/specs,,45.0,None,,,,10.1,Yes,15.6,,No,Yes,,No,No,,0,No,Yes,,,0.9,1920 x 1080,12,Yes,,,,,4.0,Windows 10 Home,,None,Intel Core i5-7500U 2.7GHz,,1000,,12,0,,Yes,No,NVIDIA GeForce 940MX/Intel HD Graphics 620,2048.0,,12,14.7,,802.11ac,,,,0,0
255,256,Samsung,Notebook 9 computer,laptop,https://www.consumerreports.org/products/laptop/samsung-notebook-9-388637/specs,,67.0,None,,,,9.1,Yes,15.0,,No,Yes,,No,Yes,,0,No,Yes,,,0.8,1920 x 1080,16,Yes,,,,,4.0,Windows 10 Home,,None,Intel Core i7-7500U 2.7GHz,,256,,12,1,,No,No,Nvidia GeForce 940MX/Intel HD Graphics 620,2048.0,,12,13.7,,802.11ac,,,,0,1
256,257,Samsung,Notebook 9 NP900X3L-K06US computer,laptop,https://www.consumerreports.org/products/laptop/samsung-notebook-9-np900x3l-k06us-385908/specs,,30.0,None,,,,8.6,Yes,13.3,,No,Yes,Silver,No,No,,1,No,Yes,,,0.6,1920 x 1080,8,Yes,,,,,2.0,Windows 10 Home,,None,Intel Core i5-6200U 2.3GHz,,256,,12,0,,Yes,Yes,Intel HD Graphics 520,,,12,12.4,,802.11ac,,,,0,0
257,258,Samsung,Notebook 9 NP900X5L-K02US computer,laptop,https://www.consumerreports.org/products/laptop/samsung-notebook-9-np900x5l-k02us-385909/specs,,39.0,None,,,,9.3,Yes,15.0,,No,Yes,Silver,No,No,,1,No,Yes,,,0.6,1920 x 1080,8,Yes,,,,,3.0,Windows 10 Home,,None,Intel Core i7-6500U 2.5GHz,,256,,12,0,,Yes,No,Intel HD Graphics 520,,,12,13.6,,802.11ac,,,,0,0
258,259,Samsung,Notebook 9 pro NP940Z5L-X01US computer,laptop,https://www.consumerreports.org/products/laptop/samsung-notebook-9-pro-np940z5l-x01us-385107/specs,,57.0,None,,,,9.8,Yes,15.6,,No,Yes,,No,No,,0,No,Yes,,,0.9,3840 x 2160,8,Yes,,,,,4.0,Windows 10 Home,,None,Intel Core i7-6700HQ 2.6GHz,,256,,12,0,,Yes,No,Nvidia GeForce GTX 950M/Intel HD Graphics 530,2048.0,,12,14.7,,802.11ac,,,,0,0
259,260,Samsung,Notebook 9 spin NP940X3L-K01US computer,laptop,https://www.consumerreports.org/products/laptop/samsung-notebook-9-spin-np940x3l-k01us-385106/specs,,39.0,None,,,,8.7,Yes,13.3,,No,Yes,,No,No,,0,No,Yes,,,0.7,3200 x 1800,8,Yes,,,,,3.0,Windows 10 Home,,None,Intel Core i7-6500U 2.5GHz,,256,,12,0,,Yes,No,Intel HD Graphics 520,,,12,12.4,,802.11ac,,,,0,0
260,261,Toshiba,Chromebook 2 CB35-C3350 computer,chromebooks,https://www.consumerreports.org/products/chromebooks/toshiba-chromebook-2-cb35-c3350-384987/specs,,,,,,Yes,8.4,,,,,Yes,Gold,,,,0,,Yes,,,0.8,1920 x 1080,4,Yes,,Yes,,,2.0,Chrome OS 46.0.2490.82,,,Core i3-5015U,,16,,12,0,,,,Intel HD Graphics 5500,,,12,12.6,Yes,,,,,0,0
261,262,Toshiba,dynaPad WT12PE-A64 computer,laptop,https://www.consumerreports.org/products/laptop/toshiba-dynapad-wt12pe-a64-385691/specs,,25.0,None,,,,8.0,Yes,12.0,,No,Yes,Silver,No,No,,0,No,Yes,,,0.7,1920 x 1080,4,Yes,,,,,2.0,Windows 10 Home,,None,Intel Atom x5-Z8300 1.44GHz,,64,,12,0,,No,No,Intel HD Graphics,,,12,11.8,,802.11ac,,,,0,0
262,263,Toshiba,Satellite Click10 LX0W­C64 computer,laptop,https://www.consumerreports.org/products/laptop/toshiba-satellite-click10-lx0w-c64-384805/specs,,23.0,None,,,,7.3,Yes,10.2,,No,Yes,Gold,No,No,,0,No,Yes,,,0.9,1920 x 1200,2,Yes,,,,,3.0,Windows 10 Home,,None,Intel Atom x5-Z8300 1.44GHz,,64,,12,0,,No,No,Intel HD Graphics,,,12,10.2,,802.11n Dual-band,,,,0,0
263,264,Toshiba,Satellite Radius P25W-C2300-4K computer,laptop,https://www.consumerreports.org/products/laptop/toshiba-satellite-radius-p25w-c2300-4k-385005/specs,,41.0,None,,,,8.2,Yes,12.5,,No,Yes,,No,No,,0,No,Yes,,,0.7,3840 x 2160,8,Yes,,,,,3.0,Windows 10 Home,,None,Intel Core i7-6500U 2.5GHz,,256,,12,0,,Yes,No,Intel HD Graphics 520,,,12,11.8,,802.11ac,,,,0,0
264,265,Vaio,S computer,laptop,https://www.consumerreports.org/products/laptop/vaio-s-386113/specs,,33.0,None,,,,8.6,Yes,13.3,,No,Yes,,No,No,,1,No,Yes,,,0.8,1920 x 1080,8,Yes,,,,,3.0,Windows 10 Pro,,None,Intel Core i5-6200U 2.3GHz,,128,,12,0,,Yes,Yes,Intel HD Graphics 520,,,12,12.6,,802.11ac,,,,0,0
265,266,Vaio,Z Canvas computer,laptop,https://www.consumerreports.org/products/laptop/vaio-z-canvas-385680/specs,,66.0,None,,,,8.4,Yes,12.3,,No,Yes,,No,No,,1,No,Yes,,,0.8,2560 x 1704,16,Yes,,,,,2.0,Windows 10 Pro,,None,Intel Core i7-4770HQ 2.2GHz,,512,,12,0,,Yes,No,Intel Iris Pro Graphics 5200,,,12,11.9,,802.11ac,,,,0,0
266,267,Vaio,Z computer,laptop,https://www.consumerreports.org/products/laptop/vaio-z-386114/specs,,58.0,None,,,,8.5,Yes,13.3,,No,Yes,,No,No,,0,No,Yes,,,0.7,1920 x 1080,8,Yes,,,,,2.0,Windows 10 Home,,None,Intel Core i5-6267U 2.9GHz,,256,,12,0,,Yes,Yes,Intel Iris Graphics 550,,,12,12.8,,802.11ac,,,,0,0
267,268,Vaio,Z Flip computer,laptop,https://www.consumerreports.org/products/laptop/vaio-flip-z-385731/specs,,58.0,None,,,,8.6,Yes,13.3,,No,Yes,,No,No,,0,No,Yes,,,0.7,2560 x 1440,8,Yes,,,,,2.0,Windows 10 Home,,None,Intel Core i5-6267U 2.9GHz,,256,,12,0,,Yes,Yes,Intel Iris Graphics 550,,,12,12.8,,802.11ac,,,,0,0
