brand,model,prod_class,spec_label,spec_value,url
Acer,Aspire ES1-571-P1MG computer,laptop,Video_memory,,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,LCD_resolution,1366 x 768,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Video_adapter,Intel HD Graphics,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Optical_drive,CD/DVD burner,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Height,1.2,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Depth,10.1,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Width,15.1,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Warranty_length,12,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Tech_support_length,12,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Battery_capacity,38,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Energy_Star,Yes,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,EPEAT_level,,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Blu_ray_or_DVD,D,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Memory_card_reader,Yes,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Facial_recognition,No,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Hand_gesture_control,No,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Fingerprint_reader,No,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,WiFi_type,802.11ac,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,USB_sleep_and_charge,No,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Thunderbolt_port,No,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Digital_video_out,Yes,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Number_of_USB_ports,3,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Gigabit_Ethernet,Yes,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,VGA_video_out,No,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,DVI_video_out,No,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,HDMI_output,Yes,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,Display_size,11.6,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,Operating_system_as_tested_,Windows 10 Home,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,Processor,Intel Celeron N3050 1.6GHz,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,Memory,2,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,Storage,32,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,Video_memory,,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,LCD_resolution,1366 x 768,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,Video_adapter,Intel HD Graphics,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,Optical_drive,None,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,Height,0.8,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,Depth,7.9,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,Width,11.5,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,Warranty_length,12,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,Tech_support_length,12,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,Battery_capacity,32,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,Energy_Star,No,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,EPEAT_level,,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,Blu_ray_or_DVD,None,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,Memory_card_reader,Yes,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,Facial_recognition,No,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,Hand_gesture_control,No,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,Fingerprint_reader,No,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,WiFi_type,802.11ac,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
